id,comentario,sentimiento
190,Partido sin mucha emoción.,Neutral
164,"Partido equilibrado, resultado justo.",Neutral
125,La defensa estuvo muy débil.,Negativo
50,La defensa estuvo impecable hoy.,Positivo
61,La estrategia funcionó perfectamente.,Positivo
111,La defensa estuvo muy débil.,Negativo
130,Nuestro ataque no generó peligro suficiente.,Negativo
172,"Encuentro equilibrado, reparto justo de puntos.",Neutral
193,"Actuación normal, nada destacable.",Neutral
75,Actuación decepcionante del portero.,Negativo
162,Empate que refleja claramente el rendimiento.,Neutral
122,Actuación decepcionante del portero.,Negativo
29,Nuestro portero estuvo sobresaliente.,Positivo
35,La defensa estuvo impecable hoy.,Positivo
166,Jugamos acorde a nuestro nivel habitual.,Neutral
25,Actuación brillante del mediocampo.,Positivo
174,"Sin sobresaltos, rendimiento promedio.",Neutral
142,"Partido equilibrado, resultado justo.",Neutral
200,"Encuentro equilibrado, reparto justo de puntos.",Neutral
110,"Mal partido, fallamos demasiadas oportunidades.",Negativo
9,Nuestro portero estuvo sobresaliente.,Positivo
2,La defensa estuvo impecable hoy.,Positivo
71,Errores constantes en pases y posesión.,Negativo
198,"Sin sobresaltos, rendimiento promedio.",Neutral
65,La defensa estuvo impecable hoy.,Positivo
139,El equipo pareció desorganizado en todo momento.,Negativo
108,Errores constantes en pases y posesión.,Negativo
91,"Mal partido, fallamos demasiadas oportunidades.",Negativo
66,"¡Gran esfuerzo colectivo, merecida victoria!",Positivo
6,Excelente rendimiento de todo el equipo.,Positivo
17,"¡Partido excepcional, dominamos claramente!",Positivo
27,Nuestro delantero marcó un gol espectacular.,Positivo
126,"Mal partido, fallamos demasiadas oportunidades.",Negativo
86,"Mala estrategia, el técnico cometió errores.",Negativo
119,"Mala estrategia, el técnico cometió errores.",Negativo
4,Nuestro delantero marcó un gol espectacular.,Positivo
134,"Mal partido, fallamos demasiadas oportunidades.",Negativo
113,Actuación decepcionante del portero.,Negativo
151,"Sin sobresaltos, rendimiento promedio.",Neutral
67,Excelente rendimiento de todo el equipo.,Positivo
83,La defensa estuvo muy débil.,Negativo
54,La estrategia funcionó perfectamente.,Positivo
98,"Mala estrategia, el técnico cometió errores.",Negativo
79,"Mal partido, fallamos demasiadas oportunidades.",Negativo
16,"Victoria sólida, equipo muy bien organizado.",Positivo
23,Nuestro delantero marcó un gol espectacular.,Positivo
129,El equipo pareció desorganizado en todo momento.,Negativo
124,Errores constantes en pases y posesión.,Negativo
185,Rendimiento estable en defensa y ataque.,Neutral
13,Controlamos claramente el ritmo del partido.,Positivo
90,El equipo pareció desorganizado en todo momento.,Negativo
106,"Mala estrategia, el técnico cometió errores.",Negativo
